Month	WeekOfMonth	DayOfWeek	Make	AccidentArea	DayOfWeekClaimed	MonthClaimed	WeekOfMonthClaimed	Sex	MaritalStatus	Age	Fault	PolicyType	VehicleCategory	VehiclePrice	FraudFound	PolicyNumber	RepNumber	Deductible	DriverRating	Days:Policy-Accident	Days:Policy-Claim	PastNumberOfClaims	AgeOfVehicle	AgeOfPolicyHolder	PoliceReportFiled	WitnessPresent	AgentType	NumberOfSuppliments	AddressChange-Claim	NumberOfCars	Year	BasePolicy
Mar	2	Sunday	Mazda	Urban	Wednesday	Mar	3	Male	Single	71	Policy Holder	Sedan - All Perils	Sedan	"more than 69,000"	No	11	7	400	3	more than 30	more than 30	none	more than 7	over 65	No	No	External	none	no change	1 vehicle	1994	All Perils
Mar	5	Monday	Honda	Urban	Monday	Mar	5	Male	Married	52	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	12	13	400	1	more than 30	more than 30	2 to 4	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1994	Liability
Jan	3	Friday	Ford	Urban	Friday	Jan	3	Male	Married	28	Policy Holder	Sedan - Liability	Sport	"more than 69,000"	No	13	11	400	1	more than 30	more than 30	1	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	Liability
Jan	5	Friday	Honda	Rural	Wednesday	Feb	1	Male	Single	0	Third Party	Sedan - Collision	Sedan	"more than 69,000"	No	14	12	400	3	more than 30	more than 30	none	new	16 to 17	No	No	External	none	no change	1 vehicle	1994	Collision
Jan	5	Monday	Ford	Urban	Thursday	Feb	1	Male	Married	61	Policy Holder	Sedan - Liability	Sport	"more than 69,000"	No	15	3	400	1	more than 30	more than 30	none	more than 7	51 to 65	No	No	External	none	no change	1 vehicle	1994	Liability
Aug	4	Tuesday	Ford	Urban	Monday	Aug	5	Male	Single	38	Policy Holder	Sedan - Liability	Sport	"more than 69,000"	No	16	16	400	1	more than 30	more than 30	none	6 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	Liability
Apr	4	Thursday	Ford	Urban	Wednesday	May	1	Male	Married	41	Policy Holder	Sedan - All Perils	Sedan	"more than 69,000"	No	17	15	400	4	more than 30	more than 30	none	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	All Perils
Jul	5	Sunday	Chevrolet	Urban	Wednesday	Aug	1	Female	Married	28	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	18	6	400	1	more than 30	more than 30	none	7 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1994	Collision
May	4	Thursday	Pontiac	Urban	Monday	May	5	Male	Single	32	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	19	6	400	1	more than 30	more than 30	1	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	Liability
Apr	4	Monday	Honda	Urban	Tuesday	May	1	Male	Married	30	Third Party	Sedan - Liability	Sport	"more than 69,000"	No	20	2	400	2	more than 30	more than 30	2 to 4	6 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	Liability
Apr	2	Friday	Mazda	Urban	Tuesday	May	1	Male	Married	40	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	21	3	400	1	more than 30	more than 30	1	more than 7	36 to 40	No	No	External	more than 5	no change	1 vehicle	1994	Liability
Jan	2	Saturday	Chevrolet	Urban	Monday	Jan	2	Male	Married	47	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	22	13	400	2	more than 30	more than 30	1	more than 7	41 to 50	No	No	External	none	4 to 8 years	2 vehicles	1994	Collision
Aug	3	Sunday	Mazda	Urban	Thursday	Aug	5	Male	Married	63	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	23	8	400	3	more than 30	more than 30	1	more than 7	51 to 65	No	No	External	1 to 2	no change	1 vehicle	1994	Liability
Jun	3	Saturday	Pontiac	Urban	Tuesday	Jun	3	Male	Single	31	Third Party	Sedan - Liability	Sport	"30,000 to 39,000"	No	24	5	400	3	more than 30	more than 30	none	6 years	31 to 35	No	No	External	3 to 5	no change	1 vehicle	1994	Liability
Sep	3	Friday	Mazda	Urban	Friday	Sep	3	Male	Married	45	Policy Holder	Sedan - All Perils	Sedan	"more than 69,000"	No	25	12	400	3	more than 30	more than 30	more than 4	more than 7	36 to 40	Yes	No	External	none	no change	1 vehicle	1994	All Perils
Mar	3	Monday	Pontiac	Urban	Tuesday	Apr	1	Male	Married	60	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	26	16	400	4	more than 30	more than 30	more than 4	more than 7	51 to 65	No	No	External	none	no change	1 vehicle	1994	Liability
Mar	3	Thursday	Honda	Urban	Thursday	Jun	4	Male	Married	21	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	27	1	400	2	more than 30	more than 30	more than 4	5 years	26 to 30	No	No	External	more than 5	no change	1 vehicle	1994	Collision
May	3	Sunday	Accura	Urban	Friday	May	4	Male	Married	42	Policy Holder	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	28	1	400	3	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	1 to 2	no change	1 vehicle	1994	All Perils
Jul	1	Saturday	Honda	Urban	Tuesday	Sep	4	Male	Single	0	Policy Holder	Sedan - All Perils	Sedan	"more than 69,000"	Yes	29	9	400	1	more than 30	more than 30	none	new	16 to 17	No	No	External	none	no change	1 vehicle	1994	All Perils
May	3	Monday	Mazda	Urban	Wednesday	May	4	Female	Married	39	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	30	12	400	3	more than 30	more than 30	none	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	Collision
Mar	2	Friday	Dodge	Urban	Saturday	Mar	2	Male	Married	47	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	31	2	400	1	more than 30	more than 30	2 to 4	more than 7	41 to 50	No	No	Internal	none	no change	1 vehicle	1994	Collision
Mar	1	Sunday	Honda	Urban	Tuesday	Mar	2	Male	Single	0	Policy Holder	Sedan - Collision	Sedan	"more than 69,000"	No	32	6	400	1	more than 30	more than 30	1	new	16 to 17	No	No	External	none	no change	1 vehicle	1994	Collision
Mar	2	Wednesday	Chevrolet	Urban	Wednesday	Mar	2	Male	Single	42	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	33	2	400	3	more than 30	more than 30	more than 4	7 years	36 to 40	No	No	External	3 to 5	no change	1 vehicle	1994	Collision
Jan	4	Monday	Honda	Urban	Tuesday	Jan	4	Male	Single	30	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	34	2	400	4	more than 30	more than 30	none	6 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1994	Collision
Jan	4	Tuesday	Ford	Urban	Wednesday	Jan	4	Male	Married	42	Policy Holder	Utility - All Perils	Utility	"more than 69,000"	No	35	12	400	1	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	All Perils
Oct	2	Wednesday	Chevrolet	Urban	Thursday	Oct	2	Male	Single	34	Third Party	Sedan - Liability	Sport	"20,000 to 29,000"	No	36	5	400	3	more than 30	more than 30	2 to 4	7 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	Liability
Oct	2	Tuesday	Honda	Urban	Thursday	Oct	3	Male	Married	30	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	37	11	400	4	more than 30	more than 30	none	6 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Sep	2	Friday	Mazda	Urban	Friday	Sep	3	Male	Single	27	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	38	4	400	2	more than 30	more than 30	none	7 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Nov	4	Tuesday	Honda	Urban	Thursday	Nov	4	Male	Married	55	Policy Holder	Sport - Collision	Sport	"more than 69,000"	No	39	12	400	1	more than 30	more than 30	none	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1994	Collision
Nov	4	Thursday	Toyota	Urban	Tuesday	Jan	1	Male	Married	35	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	40	1	400	3	more than 30	more than 30	none	7 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1994	Collision
Mar	4	Wednesday	Chevrolet	Urban	Wednesday	Apr	1	Female	Married	35	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	41	11	400	1	more than 30	more than 30	2 to 4	6 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Mar	3	Friday	Pontiac	Urban	Wednesday	Mar	4	Male	Married	44	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	42	15	400	1	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	3 to 5	no change	3 to 4	1994	All Perils
Jul	1	Monday	Toyota	Urban	Monday	Jul	1	Female	Single	42	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	43	12	400	4	more than 30	more than 30	none	4 years	36 to 40	No	No	External	none	4 to 8 years	2 vehicles	1994	Liability
Jan	3	Tuesday	Honda	Urban	Monday	Jan	4	Male	Married	41	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	44	5	400	2	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	1 to 2	no change	1 vehicle	1994	Collision
Jan	3	Wednesday	Toyota	Urban	Wednesday	Jan	4	Male	Married	72	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	45	16	400	1	more than 30	more than 30	none	more than 7	over 65	No	No	External	none	no change	1 vehicle	1994	Collision
Feb	2	Wednesday	Pontiac	Urban	Thursday	Feb	2	Female	Married	29	Third Party	Sedan - All Perils	Sedan	"less than 20,000"	No	46	8	400	3	more than 30	more than 30	2 to 4	5 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	All Perils
Feb	2	Thursday	Pontiac	Urban	Monday	Feb	3	Male	Single	32	Third Party	Sedan - Collision	Sedan	"30,000 to 39,000"	No	47	9	400	4	more than 30	more than 30	none	6 years	31 to 35	No	No	Internal	none	no change	1 vehicle	1994	Collision
Nov	4	Thursday	Mazda	Urban	Friday	Nov	4	Male	Married	37	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	48	13	400	3	more than 30	more than 30	2 to 4	5 years	36 to 40	No	No	External	more than 5	no change	1 vehicle	1994	Liability
Apr	3	Thursday	Chevrolet	Urban	Thursday	May	1	Female	Married	37	Policy Holder	Sedan - Liability	Sport	"more than 69,000"	No	49	10	400	1	more than 30	more than 30	2 to 4	6 years	36 to 40	No	No	External	3 to 5	no change	1 vehicle	1994	Liability
Apr	3	Friday	Pontiac	Urban	Tuesday	Apr	3	Male	Married	59	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	50	9	400	4	more than 30	more than 30	more than 4	more than 7	51 to 65	No	No	External	3 to 5	no change	1 vehicle	1994	Collision
May	4	Friday	Pontiac	Urban	Friday	May	4	Male	Married	49	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	51	14	400	2	more than 30	more than 30	more than 4	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1994	Liability
Jun	4	Wednesday	Pontiac	Urban	Friday	Jun	4	Male	Married	27	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	52	4	500	3	more than 30	more than 30	2 to 4	6 years	31 to 35	No	No	External	3 to 5	2 to 3 years	1 vehicle	1994	Liability
Jul	3	Sunday	Honda	Rural	Wednesday	Jan	4	Male	Married	21	Policy Holder	Sport - Collision	Sport	"more than 69,000"	Yes	53	4	400	4	more than 30	more than 30	none	4 years	26 to 30	No	No	External	3 to 5	no change	1 vehicle	1994	Collision
Jul	4	Saturday	Honda	Urban	Wednesday	Aug	2	Male	Married	50	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	Yes	54	13	400	1	more than 30	more than 30	none	more than 7	41 to 50	No	No	External	3 to 5	no change	1 vehicle	1994	Collision
Jun	4	Tuesday	Pontiac	Urban	Tuesday	Jun	4	Male	Single	45	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	55	8	400	1	more than 30	more than 30	1	7 years	36 to 40	No	No	External	1 to 2	no change	1 vehicle	1994	Collision
Dec	3	Monday	Mazda	Urban	Wednesday	Dec	3	Male	Married	49	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	56	7	400	4	more than 30	more than 30	none	more than 7	41 to 50	No	No	External	3 to 5	no change	1 vehicle	1994	All Perils
Jun	4	Friday	Honda	Urban	Thursday	Jun	5	Male	Single	30	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	57	5	400	4	more than 30	more than 30	2 to 4	6 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	All Perils
Nov	2	Friday	Accura	Urban	Monday	Nov	2	Male	Single	37	Policy Holder	Sedan - Collision	Sedan	"more than 69,000"	No	58	11	400	3	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	Collision
May	1	Monday	Honda	Rural	Wednesday	May	4	Male	Single	0	Policy Holder	Sedan - Liability	Sport	"more than 69,000"	No	59	15	400	4	more than 30	more than 30	none	new	16 to 17	No	No	External	none	no change	1 vehicle	1994	Liability
May	1	Wednesday	Chevrolet	Urban	Monday	May	2	Female	Single	27	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	60	4	400	4	more than 30	more than 30	none	6 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1994	Collision
Nov	1	Monday	Toyota	Urban	Monday	Nov	3	Male	Single	30	Policy Holder	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	61	5	400	4	more than 30	more than 30	none	5 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	All Perils
Sep	2	Tuesday	Pontiac	Urban	Friday	Jan	4	Male	Married	49	Policy Holder	Utility - Collision	Utility	"40,000 to 59,000"	No	62	6	400	4	more than 30	more than 30	none	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1994	Collision
Nov	4	Sunday	Honda	Urban	Friday	Jan	3	Male	Single	0	Third Party	Sedan - All Perils	Sedan	"more than 69,000"	No	63	3	400	2	more than 30	more than 30	2 to 4	new	16 to 17	No	No	External	none	no change	1 vehicle	1994	All Perils
Feb	5	Monday	Toyota	Urban	Tuesday	Mar	1	Male	Married	26	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	64	13	400	3	more than 30	more than 30	2 to 4	7 years	31 to 35	No	No	External	more than 5	4 to 8 years	2 vehicles	1994	Liability
Dec	1	Friday	Pontiac	Urban	Tuesday	Dec	2	Male	Single	48	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	65	1	400	1	more than 30	more than 30	none	7 years	41 to 50	No	No	External	none	no change	1 vehicle	1994	Collision
Dec	4	Friday	Mazda	Urban	Monday	Jan	2	Male	Single	31	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	66	6	400	3	more than 30	more than 30	none	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	All Perils
Mar	3	Friday	Mercury	Urban	Friday	Mar	3	Male	Single	40	Third Party	Sedan - Collision	Sedan	"more than 69,000"	No	67	16	400	2	more than 30	more than 30	1	7 years	36 to 40	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Aug	4	Thursday	Mazda	Urban	Monday	Aug	5	Male	Married	65	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	68	12	400	1	more than 30	more than 30	2 to 4	more than 7	51 to 65	No	No	External	more than 5	no change	1 vehicle	1994	Liability
Jan	1	Sunday	Toyota	Urban	Tuesday	Jan	1	Male	Married	64	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	69	5	400	1	more than 30	more than 30	1	more than 7	51 to 65	No	No	External	none	no change	1 vehicle	1994	Collision
Jan	1	Sunday	Honda	Urban	Wednesday	Jan	1	Male	Married	55	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	70	12	400	2	more than 30	more than 30	2 to 4	7 years	41 to 50	No	No	External	more than 5	no change	1 vehicle	1994	Liability
Jan	1	Sunday	Honda	Urban	Wednesday	Jan	1	Male	Single	44	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	71	16	400	1	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	3 to 5	no change	1 vehicle	1994	Collision
Jan	1	Tuesday	Mazda	Urban	Thursday	Jan	1	Male	Married	27	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	72	9	400	3	more than 30	more than 30	1	6 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1994	Collision
Sep	4	Thursday	Chevrolet	Urban	Monday	Jan	5	Female	Single	28	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	73	5	400	3	15 to 30	more than 30	1	5 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	Collision
Jan	1	Monday	Honda	Urban	Tuesday	Jan	1	Male	Married	47	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	74	7	400	2	more than 30	more than 30	1	more than 7	41 to 50	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Apr	5	Saturday	Mazda	Urban	Tuesday	May	1	Male	Married	60	Third Party	Sedan - Collision	Sedan	"more than 69,000"	No	75	12	400	3	more than 30	more than 30	more than 4	7 years	51 to 65	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Aug	1	Saturday	Ford	Urban	Wednesday	Aug	4	Male	Married	33	Third Party	Sedan - Collision	Sedan	"30,000 to 39,000"	No	76	9	400	4	more than 30	more than 30	more than 4	6 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	Collision
Oct	4	Tuesday	Chevrolet	Urban	Monday	Jan	1	Male	Married	27	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	77	1	400	3	more than 30	more than 30	none	6 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	All Perils
Feb	2	Friday	Honda	Urban	Tuesday	Feb	3	Female	Married	47	Third Party	Sport - Collision	Sport	"more than 69,000"	No	78	12	400	3	more than 30	more than 30	none	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1994	Collision
Feb	2	Friday	Jaguar	Rural	Tuesday	Feb	3	Female	Single	29	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	79	16	400	1	more than 30	more than 30	2 to 4	5 years	31 to 35	No	No	External	3 to 5	no change	1 vehicle	1994	Liability
Feb	4	Saturday	Toyota	Urban	Friday	Mar	1	Female	Married	33	Third Party	Sedan - Collision	Sedan	"30,000 to 39,000"	No	80	10	400	1	more than 30	more than 30	2 to 4	7 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Jan	3	Wednesday	Pontiac	Urban	Wednesday	Jan	3	Male	Married	38	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	81	13	400	4	more than 30	more than 30	2 to 4	6 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	Liability
Jan	3	Thursday	Mazda	Urban	Friday	Jan	4	Male	Single	37	Third Party	Sedan - Liability	Sport	"20,000 to 29,000"	No	82	6	400	2	more than 30	more than 30	1	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	Liability
Dec	2	Friday	Chevrolet	Urban	Thursday	Apr	3	Male	Married	36	Third Party	Sedan - All Perils	Sedan	"more than 69,000"	No	83	13	400	4	more than 30	more than 30	none	7 years	36 to 40	No	No	External	none	no change	3 to 4	1994	All Perils
Nov	5	Tuesday	Toyota	Urban	Friday	Feb	1	Female	Married	44	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	84	9	400	4	more than 30	more than 30	none	6 years	36 to 40	No	No	External	1 to 2	no change	1 vehicle	1994	Liability
Dec	1	Wednesday	Honda	Urban	Monday	Jan	1	Male	Single	0	Policy Holder	Sedan - Liability	Sport	"more than 69,000"	No	85	6	400	2	more than 30	more than 30	more than 4	new	16 to 17	No	No	External	none	4 to 8 years	2 vehicles	1994	Liability
Dec	2	Tuesday	Chevrolet	Rural	Tuesday	Mar	1	Male	Married	27	Policy Holder	Utility - Liability	Utility	"more than 69,000"	No	86	4	400	4	more than 30	more than 30	1	6 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	Liability
May	4	Tuesday	Toyota	Urban	Wednesday	May	4	Male	Single	27	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	87	14	400	3	more than 30	more than 30	1	6 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	Collision
May	4	Sunday	Mazda	Urban	Wednesday	May	4	Male	Single	39	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	88	1	400	2	more than 30	more than 30	2 to 4	4 years	36 to 40	No	No	External	more than 5	no change	1 vehicle	1994	All Perils
Oct	5	Saturday	Pontiac	Urban	Monday	Oct	5	Male	Married	74	Third Party	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	89	13	400	4	more than 30	more than 30	none	7 years	over 65	No	No	External	3 to 5	no change	1 vehicle	1994	All Perils
Oct	4	Sunday	Honda	Urban	Monday	Oct	4	Male	Single	23	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	90	8	400	2	more than 30	more than 30	2 to 4	4 years	26 to 30	No	No	External	none	no change	1 vehicle	1994	Liability
Oct	4	Sunday	Honda	Urban	Tuesday	Oct	4	Female	Single	25	Third Party	Sport - Collision	Sport	"more than 69,000"	No	91	2	400	1	more than 30	more than 30	none	6 years	26 to 30	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Jan	2	Wednesday	Pontiac	Urban	Wednesday	Jan	2	Male	Single	38	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	92	13	400	2	more than 30	more than 30	more than 4	7 years	36 to 40	No	No	External	3 to 5	1 year	1 vehicle	1994	Liability
Jan	2	Thursday	Honda	Urban	Monday	Jan	4	Male	Married	41	Policy Holder	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	93	16	400	1	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	All Perils
Aug	4	Saturday	Pontiac	Urban	Monday	Aug	5	Male	Married	38	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	94	13	700	3	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Nov	2	Thursday	Honda	Urban	Friday	Jan	3	Male	Single	34	Policy Holder	Sport - Collision	Sport	"more than 69,000"	Yes	95	7	400	3	more than 30	more than 30	none	7 years	31 to 35	No	No	External	3 to 5	no change	1 vehicle	1994	Collision
May	2	Tuesday	Honda	Urban	Thursday	May	2	Male	Married	61	Third Party	Sedan - Collision	Sedan	"30,000 to 39,000"	No	96	15	400	4	more than 30	more than 30	none	more than 7	51 to 65	No	No	External	more than 5	no change	1 vehicle	1994	Collision
Nov	2	Friday	Toyota	Urban	Tuesday	Jan	1	Male	Married	38	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	Yes	97	7	400	2	more than 30	more than 30	1	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	Collision
Jan	3	Thursday	Toyota	Urban	Monday	Jan	4	Male	Single	40	Policy Holder	Sedan - All Perils	Sedan	"less than 20,000"	No	98	4	400	4	more than 30	more than 30	1	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	All Perils
Nov	3	Monday	Pontiac	Urban	Wednesday	Jan	4	Male	Married	41	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	99	12	400	4	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	All Perils
Jan	4	Friday	Pontiac	Urban	Monday	Jan	5	Male	Married	36	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	100	10	400	1	more than 30	more than 30	1	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1994	All Perils
Nov	3	Tuesday	Chevrolet	Urban	Wednesday	Jan	2	Male	Married	31	Policy Holder	Utility - All Perils	Utility	"more than 69,000"	Yes	101	2	400	1	more than 30	more than 30	more than 4	7 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1994	All Perils
Jan	5	Saturday	Pontiac	Urban	Monday	Jan	5	Female	Married	35	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	102	10	400	4	more than 30	more than 30	1	6 years	31 to 35	No	No	External	none	no change	1 vehicle	1994	All Perils
Jan	4	Friday	Ford	Urban	Monday	Feb	1	Female	Married	37	Policy Holder	Sedan - All Perils	Sedan	"more than 69,000"	No	103	14	500	2	more than 30	more than 30	2 to 4	6 years	36 to 40	Yes	No	External	3 to 5	no change	1 vehicle	1994	All Perils
